Value,Time
1481.0,3026.25
1482.25,3030.0
1488.25,3032.0
1488.0,3035.0
1488.25,3037.0
1497.25,3039.5
1494.75,3042.0
1492.5,3044.0
1492.25,3047.0
1497.25,3049.0
1504.25,3051.5
1495.75,3054.0
1488.0,3056.0
1483.5,3059.0
1482.25,3061.0
1490.25,3063.5
1494.0,3066.0
1492.0,3068.0
1489.0,3072.0
1489.75,3074.0
1488.25,3076.75
1496.75,3079.0
1494.0,3081.0
1489.75,3084.0
1492.0,3086.0
1494.25,3088.75
1489.75,3091.0
1495.25,3093.25
1496.5,3096.0
1498.5,3098.0
1493.25,3100.75
1489.75,3103.0
1485.0,3105.5
1477.75,3108.0
1477.5,3110.0
1483.5,3112.75
1483.5,3116.0
1489.75,3118.5
1506.5,3121.0
1504.25,3123.0
1494.5,3126.0
1485.5,3128.0
1485.0,3130.5
1483.75,3133.0
1480.0,3135.0
1485.0,3138.0
1486.0,3140.0
1485.5,3142.5
1493.0,3145.0
1498.25,3147.0
1490.75,3150.0
1482.75,3152.0
1482.75,3154.75
1482.0,3158.0
1481.5,3160.25
1480.75,3163.0
1483.0,3165.0
1486.75,3167.75
1488.0,3170.0
1487.75,3172.5
1486.0,3175.0
1490.5,3177.0
1492.0,3179.75
1488.0,3182.0
1484.25,3184.5
1481.5,3187.0
1484.25,3189.0
1485.5,3192.0
1490.5,3194.0
1491.75,3196.5
1487.0,3200.0
1481.5,3202.0
1479.75,3205.0
1485.25,3207.0
1483.25,3209.75
1480.5,3212.0
1485.0,3214.0
1486.5,3217.0
1486.25,3219.0
1488.5,3221.75
1490.5,3224.0
1490.5,3226.0
1490.0,3229.0
1487.75,3231.0
1483.0,3233.75
1479.75,3236.0
1484.0,3238.25
1487.0,3241.0
1486.25,3244.0
1491.75,3246.75
1492.25,3249.0
1485.75,3251.25
1482.75,3254.0
1489.0,3256.0
1498.5,3258.75
1498.75,3261.0
1495.0,3263.5
1491.75,3266.0
1481.25,3268.0
1474.75,3270.75
1475.0,3273.0
1481.5,3275.5
1482.75,3278.0
1487.0,3280.0
1485.75,3282.75
1481.25,3286.0
1478.5,3288.5
1484.25,3291.0
1486.75,3293.0
1481.5,3296.0
1480.25,3298.0
1482.5,3300.5
1490.75,3303.0
1487.5,3305.0
1487.25,3308.0
1489.0,3310.0
1492.5,3312.75
1493.5,3315.0
1489.75,3317.0
1489.0,3320.0
1487.5,3322.0
1489.25,3324.75
1488.25,3328.0
1485.75,3330.25
1482.75,3333.0
1481.75,3335.0
1488.75,3337.75
1497.25,3340.0
1502.25,3342.25
1500.25,3345.0
1498.75,3347.0
1496.25,3349.75
1491.25,3352.0
1486.5,3354.25
1485.0,3357.0
1490.75,3359.0
1501.5,3361.75
1502.0,3364.0
1493.25,3366.5
1487.25,3369.0
1486.5,3372.0
1483.75,3374.75
1479.0,3377.0
1483.5,3379.5
1488.0,3382.0
1488.25,3384.0
1486.5,3386.75
1483.5,3389.0
1494.75,3391.5
1495.5,3394.0
1489.25,3396.0
1484.5,3399.0
1482.75,3401.0
1481.25,3403.5
1488.75,3406.0
1493.0,3408.0
1490.75,3411.0
1489.25,3414.0
1488.0,3416.75
1486.25,3419.0
1491.5,3421.25
1510.0,3424.0
1510.0,3426.0
1503.25,3428.75
1500.25,3431.0
1497.25,3433.25
1497.75,3436.0
1497.0,3438.0
1495.5,3440.75
1495.0,3443.0
1497.25,3445.25
1498.5,3448.0
1501.5,3450.0
1501.25,3452.75
1502.25,3456.0
1503.75,3458.5
1499.75,3461.0
1496.0,3463.0
1495.0,3465.75
1491.75,3468.0
1488.75,3470.5
1486.5,3473.0
1485.25,3475.0
1485.75,3478.0
1497.5,3480.0
1501.25,3482.5
1498.75,3485.0
1496.5,3487.0
1494.25,3490.0
1490.75,3492.0
1489.25,3494.75
1490.0,3497.0
1487.75,3500.0
1485.0,3503.0
1489.5,3505.0
1494.75,3507.75
1494.75,3510.0
1497.25,3512.25
1494.5,3515.0
1498.0,3517.0
